,name,time,tweet
115,a.hobi.,2022-03-13 01:25:45,ARMY! Ayúdenme a encontrar a mis hermanas de sangre morada de la plaza central sala 2 de las 12 de la tarde 😭😭😭😭😭😭… https://t.co/TWO8dxWRjl
116,abcdefghij_lmnopqrstuvwxyz,2022-03-13 01:25:43,Gracias por esta experiencia #cinepolis #BTS_PTD_ON_STAGE_SEOUL https://t.co/FYSpMEfnrO
117,🇲🇽 May; ⟭⟬⁷⦡🌙,2022-03-13 01:25:32,"Armys que fueron al cine de Rio Nilo a la función de las 4, las amo. 😭💜#cinepolis https://t.co/hmYAQNZKBQ"
118,Daniel,2022-03-13 01:25:30,@pechivk @Cinepolis JAJAJA si se pasaron
119,Alondra Galván,2022-03-13 01:25:28,"Para las dos personitas super lindas que se tomaron fotito conmigo en cinepolis Sendero, se me olvido decirles que me la pasarán 🥺💜"
120,Yuri Diana R C 🐰✨,2022-03-13 01:25:18,"Ahhhhhh, al fin nos conocimos en persona!! Gracias por el momento, fue muy hermoso y especial!!! 🤗🤍✨💜😊… https://t.co/fenNICOArQ"
121,hoyuelosnami🧸,2022-03-13 01:25:17,"@AdriiRoCas @Cinepolis En mi sala una grito, saquen las recetas jajajakaka"
122,Jani⁷ 🌤️ | Inactiva por 📚,2022-03-13 01:25:11,"En el cinepolis que fui no dieron sprite, pésimo 😔✊"
123,承 ᱺ 𝐬𝐰𝐞𝐞𝐭 ! 🌿,2022-03-13 01:25:10,@Cinepolis Gracias joel tqm https://t.co/1Q1meaz40T
124,RADioEjército,2022-03-13 01:25:10,Tío @Cinepolis nos morimos por ver a Daniel Radlciffe en @LostCityMovie https://t.co/pS5zPlOEAg
125,Duls Lee,2022-03-13 01:25:05,"@Cinepolis Te amo Cinepolis, gracias de verdad https://t.co/qd3Tf3wHaF"
126,𝚟𝚊𝚕𝚎𝚛𝚒𝚊⁷ ♡ ☆ ﾟ. * ･｡,2022-03-13 01:25:05,"@Cinepolis GRACIAS! Gracias por un excelente día 💜🙏🏻 fui muy feliz 😭  

¡Recordaré este día por siempre!

#BTSARMY … https://t.co/QHbxrv9m10"
127,jenni beasley,2022-03-13 01:25:02,Me cagas Cinépolis pero la neta me siento muy agradecida con los papás de las armys y de la gente de la fila que no… https://t.co/7UPzmTnzbW
128,𝙼 𝚘 𝚘 𝚗:),2022-03-13 01:25:00,"No tengo palabras para describir lo que acabo de vivir, parecía que estaba en el concierto.
Tuve una semana de mrd… https://t.co/OhBgPTAxkq"
129,Stand Alone Complexer,2022-03-13 01:24:52,"@IKarpy_ @Cinepolis Que bien que te la hayas pasado chido. Para cuando vayas a Seúl a verlos en vivo, ya sabes que… https://t.co/Y6lv6al8Wp"
130,DAYON,2022-03-13 01:24:50,"@Cinepolis Muchas gracias @cinepolis por esta experiencia única fue increíble, lo único  no me gusto fue que no me… https://t.co/4BNurbkiM9"
131,Iza-Jo 🪴🇲🇽,2022-03-13 01:24:47,@allstarsky7 Al final de la proyección apareció; see you soon. Pero no sé si eso era por parte de Cinépolis o de los chicos 🤔
132,Sofía Arguelles,2022-03-13 01:24:47,"Army que se cayó encima mío por las escaleras del Mallplaza en Bogotá saliendo de la función de la 1:00 pm de PTD,… https://t.co/02BbAUiH2n"
133,kkk,2022-03-13 01:24:41,CINÉPOLIS DE AVELLANEDA LA CONCHA DE TU HERMANAAAAA
134,Adri Castillo,2022-03-13 01:24:40,"@noahpar10566046 @Cinepolis Créeme que las personas disfrutamos ver a los chicos, pero en definitiva se atoraba más… https://t.co/Z0deB0M7C5"
135,࣪˖ .🍊 🅼ajo ♡ Gigi Day🐱 ˖,2022-03-13 01:24:37,"Lxs amo hermanxs de sangre morada, ustedes hacen que la experiencia sea más bonita, y gracias @Cinepolis por haber… https://t.co/4awdwpYx05"
136,miris ♡'s thv,2022-03-13 01:24:35,"Hace rato q se acabó el concierto, y wow la mejor experiencia q he vivido en toda mi vida, la re viví y me divertí… https://t.co/QTLHHGVyGJ"
137,Karyhope,2022-03-13 01:24:32,"@BTS_MXCO @Cinepolis  @MasQueCineLatam 
Hermoso dia 💜🥰✨ https://t.co/S8wwxeWB3p"
138,Ayuda Cinépolis,2022-03-13 01:24:21,"@soobiunni @Cinepolis @soobiunni Hola, sería necesario verificarlo en el cine donde se llevó a cabo tu función."
139,anie⁷💫,2022-03-13 01:24:18,"QUIERO DECIR, OJEAS EL SUSPENSO QUE GENERABA CUANDO LAS NOTAS MUSICALES CAMBIABAN DE LA NADA PARA, A CONTINUACIÓN,… https://t.co/k37hQVY2yV"
140,Michel Higuera,2022-03-13 01:24:14,"@BTS_twt
Gane en la vida con esta foto🥰
#JIMIN 
#cinepolis 
#PTD_ON_STAGE_SEOUL #PTD_ON_STAGE_SEOUL_day2 https://t.co/VZkjS6WsDZ"
141,Woodyinha ⟭⟬,2022-03-13 01:23:55,Amé mi sala la neta #cinepolis  #PTD_ON_STAGE_SEOUL #BTS https://t.co/Ym7E8sZGX4
142,Sorangel Flores,2022-03-13 01:23:25,"@Cinepolis Gracias Tío Joel. Fue un día maravilloso, gracias por hacer esto posible 💜 https://t.co/ouJeTc6R8M"
143,SolunarBTS,2022-03-13 01:23:25,@Cinepolis Gracias Cinépolis una experiencia realmente de otro mundo... Sin embargo me hubiera gustado que en Zacat… https://t.co/d3tHzsRiGD
