,name,time,tweet
114,B r e a k i e⁷🐳 🥕,2022-03-12 02:04:52,"No se que ponerme para mañana 😭😭 
Mañana aquí en tehuacan voy a conocer a muchas armys ^^ solo topo como a 4 jshdjd… https://t.co/itH2hnT2NB"
115,Ambar,2022-03-12 01:59:10,"💜VENDO 2 BOLETOS DE BTS PTD💜

Es para el 12 de marzo a las 4:00 PM en Galerías Metepec, Edomex.

#BTSCONCERT… https://t.co/GrxAwXuptl"
116,B r e a k i e⁷🐳 🥕,2022-03-12 01:58:14,No se que ponerme :( ¿Que se van a poner ustedes? Tiene un outfit en mente? Yo pensé en ponerme algo similar a  alg… https://t.co/wF2M2KJ9D0
117,Celina Becerra,2022-03-12 01:50:24,Abri las puertas de mi paraíso a alguien que lo quemo en segundos #bts_in_mexico
118,Gris_Army&BTSMex.,2022-03-11 23:56:33,"Que sería la vida sin ellos, gracias por existir y darnos esos momentos tan hermosos, algún día nos conoceremos los… https://t.co/On8DGRIGgB"
119,Gris_Army&BTSMex.,2022-03-11 23:53:11,"Holis mis peques con cariño😅😅, bueno ya mañana es el gran día ya tienen todo listo su mejor outfit, bueno vayamos s… https://t.co/lgLPteOYDk"
120,𝑀𝑖𝑙𝑎𝑔𝑟𝑜𝑠⁷ 🇵🇪,2022-03-11 23:13:03,"@ARMYForce_votos @BTS_twt México
I am voting for #BTSARMY as the #BestFanArmy in #iHeartAwards @BTS_twt"
121,army que quedó 🤡,2022-03-11 22:13:25,"Yo posando para / Mi amix ya bien
que me tomen    / harta de mi 
otra foto con mi /
outfit exclusivo /
para el conc… https://t.co/p6E2dDKFZ6"
122,estrella⁷,2022-03-11 22:11:33,"Amixes, vendo UN boleto para mañana en el cine en CDMX a las 12:00 p.m. Mi amiga me cancelo, por fi ayúdenme. #BTS_twt #bts_in_mexico #bts"
123,Caleb Castro,2022-03-11 21:11:09,"Que pedo con los BTS son todos iguales parece el jutsu clones de sombra. 
#BTSARMY #BTS #bts_in_mexico"
124,army que quedó 🤡,2022-03-11 20:29:32,"Recomendación para ver PTD mañana en cines:

Si quieres hacer tu desastre dentro de la sala, lo puedes hacer pero s… https://t.co/U4dVNeEtvQ"
125,𝓡𝓜✨🇲🇽𝕊𝕠𝕄𝕚𝕟𝕋𝕒𝕖,2022-03-11 19:22:53,@Cinepolis Yo venía con la intención de hacer depósitos bancarios. Y me salen con esto. No esperaba mucho de ustede… https://t.co/kOYvgr0VQJ
126,Pao {🥺🏕️},2022-03-11 17:32:55,No me quiero ilusionar todavía pero creo qué tengo que ir guntando por si vienen a México 😳😊 #BTS #bts_in_mexico https://t.co/QkXn9ngVrd
127,Renato P,2022-03-11 15:08:51,"Vendo 2 boletos para el Permission to Dance en @Cinepolis Patio Universidad para la función de las 12, a precio de… https://t.co/kp8G0oBngQ"
128,Sónica,2022-03-11 15:03:00,"Sigamos torturándonos con ese concierto de #BTS_in_Mexico al que no fuimos 😅

#BTS #BTSARMY #BTSCONCERT

https://t.co/iiHR2DfBIQ"
129,Karen 💜 V 💜,2022-03-11 11:24:54,"Son únicos 😍😍✨ #BTS

Los amo 💜

Ya por favor #BTS_IN_MEXICO 🙏 Lo necesitamos tod@s 🕯🇲🇽

#PTD_ON_STAGE_SEOUL https://t.co/Z0HzR8AKvM"
